ID,Sex,Age_mean,C2,C3,C4,C5,C6,C7,T1,T2,T3,T4,T5,T6,T7,T8,T9,T10,T11,T12,L1,L2,L3,L4,L5,Sum_Verts
korea120,M,40,36.85,15.35,15.7,14.68,15.2,17.19,18.24,19.43,19.61,20.32,20.58,21.41,22.27,22.63,23.16,24.05,24.67,25.11,27.07,28.36,30.03,29.87,30.44,522.22
korea121,M,35,37.98,15.5,14.58,11.45,12.73,15.07,16.27,17.75,17.56,18.67,19.36,20.4,21,21.49,21.16,22.21,23.22,25.01,27.64,26.13,28.1,28.71,27.89,489.88
korea122,M,45,36.44,15.03,13.55,13.52,13.87,15.03,17.13,18.51,19.33,18.43,18.85,18.9,19.12,18.69,19.48,20.46,20.74,23.26,25.52,27.94,27.9,28.88,28.02,478.6
korea123,M,27.5,37.99,15.31,13.45,13.21,13.76,15.11,17.47,20.83,19.75,20.11,20.53,21.47,21.94,21.77,22.16,23.35,24.21,24.94,25.15,25.33,27.37,28.66,28.72,502.59
korea124,F,21,35.74,12.42,12.16,12.18,12.56,13.31,15.14,16.53,14.82,16.77,18.37,18.22,18.6,20,19.32,20.9,21.67,23.56,24.3,25.9,25.5,26.05,26.4,450.42
korea125,M,45,38.99,15.15,15.73,15.13,13.84,15.47,17.85,19.75,19,20.26,20.63,22.07,22.78,23.19,23.56,23.52,23.54,26.9,29.26,28.98,29.77,28.92,30.36,524.65
korea126,F,45,35.03,12.46,12.38,12.55,13.02,13.91,15.75,17.28,17.54,17.63,18.46,18.65,19.28,19.33,20.38,20.75,20.96,23.01,24.57,27.09,26.73,26.48,27.7,460.94
korea127,M,35,39.43,14.23,14.3,12.77,12.98,14.5,17.52,19.86,20.05,18.2,18.68,20.07,20.89,20.35,21.78,22.17,23.09,24,26.76,27.04,28.44,28.47,28.06,493.64
korea128,F,55,33.44,11.84,11.35,10.73,11.58,13.87,14.34,16.26,15.17,16.13,15.29,17.24,17.61,18.25,18.54,18.68,19.09,21.22,22.12,23,25.4,23.95,24.7,419.8
korea129,M,55,36.64,15.23,15.86,14.98,15.56,16.81,18.43,19.77,18.82,19.79,20.86,20.82,21.21,22.52,23.26,22.16,23.15,24.35,28.25,27.54,28.07,28.39,27.62,510.09
korea130,M,60,39.31,14.85,13.33,13.57,13.74,16,17.84,18.99,19.32,19.26,19.28,19.51,20.86,21.6,21.9,23.39,24.18,26.49,26.39,27.56,28.01,28.54,28.52,502.44
korea131,UD,23.5,33.69,13.18,12.79,13.12,12.71,14.15,15.87,16.96,17.2,17.21,17.7,18.34,18.28,19.06,20.32,20.68,19.8,20.84,23.43,24.09,23.41,23.79,23.33,439.95
korea132,UD,21,34.37,10.36,10.92,10.75,11.46,13.6,15.18,16.4,15.7,15.91,17.08,17.25,17.87,18.86,19.74,20.64,21.95,22.6,24.03,24.6,25.13,26.28,23.6,434.28
korea133,UD,30,41.82,15.05,14.02,13.33,14.47,16.49,17.75,20.12,20.94,20.46,21.45,22.39,22.51,23,23.06,24.74,24.77,25.56,27.76,28.19,30.77,29.43,28.38,526.46
korea134,UD,35,37.3,14.21,13.41,12.39,12.53,14.77,16.06,17.92,16.99,17.97,18.44,18.45,19.48,19.89,20.86,21.67,22.12,22.85,25.25,24.59,25.44,25.97,27.06,465.62
korea135,UD,47.5,38.01,13.76,14.09,12.78,12.4,13.73,15.86,18.11,18.76,18.51,18.35,19.21,19.13,19.21,21.12,20.85,21.65,22.97,24.39,24.51,26.24,27.18,26.79,467.61
korea136,UD,30,35.81,14.5,14.44,13.01,14.34,14.94,15.81,17.14,18.44,18.29,18.58,19.28,20.31,20.09,20.34,21.12,21.14,22.7,22.73,23.14,25.79,25.69,23.85,461.48
korea137,UD,999,36.71,15.07,14.53,12.93,12.67,14.16,15.73,16.85,18.32,18.27,19.66,20.38,20.51,21.95,21.51,22.42,22.79,24.18,25.13,25.26,25.79,27.58,26.31,478.71
korea138,UD,23.5,40.18,13.6,13.14,13.81,14.3,13.85,16.19,17.41,17.18,17.5,18.86,20.23,20.67,20.65,20.85,21.06,22.34,23.98,25.25,26.23,25.68,27.06,26.23,476.25
korea139,UD,30,40.78,15.8,14.62,14.81,14.25,15.54,16.63,19.08,18.93,19.9,20.54,20.63,21.5,22.11,22.95,23.01,24.74,24.54,26.61,26.99,28.36,29.45,29.11,510.88
korea140,UD,30,36.21,16.42,15.04,14.25,14.92,16.88,18.14,19.67,20.46,18.82,20.63,21.54,22.02,21.81,23.73,27.43,26.25,26.88,29.41,29.91,32.93,32.03,29.75,535.13
korea141,UD,23.5,35.91,12.7,12.19,12.52,12.99,15.39,16.88,19.58,19.03,18.98,19.68,19.24,20.26,21.16,21.1,22.98,22.06,24.35,24.66,26.05,27.13,26.65,26.76,478.25
korea142,UD,40,37.93,15.33,12.86,11.9,12.89,15.21,18.65,18.37,18.79,20,20.27,21.16,20.06,20.81,21.62,22.8,24.21,24.95,26.03,26.65,26.71,27,24.85,489.05
korea143,UD,37.5,36.82,13.46,13.76,12.13,11.65,14.57,16.3,17.46,19.12,20.42,19.84,20.5,21,21.39,21.41,22.13,22.14,22.3,23.31,24.32,26.53,27.42,26.8,474.78
korea144,F,43,39.21,14.28,14.33,14.7,14.12,15.12,16.95,19.72,18.45,19.16,19.85,21.1,22,22.44,21.26,22.95,23.46,25.54,27.83,27.24,28.5,30.1,29.5,507.81
korea145,M,50,38.31,14.62,15.33,13.75,14.25,15.14,16.06,19.65,18.49,16.31,18.27,18.86,19.63,21.03,21.33,21.79,22.23,22.19,25.41,23.62,26.84,28.61,28.78,480.5
korea146,M,50,40.6,14.72,14.22,12.91,13.14,14.52,17.8,20.03,20.14,19.73,20.48,20.84,20.85,21.35,21.55,22.47,23.98,25.48,26.77,27.25,29.89,30.69,30.94,510.35
korea147,F,55,34.37,12.3,12.5,12.61,11.86,13.44,14.71,16.43,16.89,17.53,17.71,18.15,17.79,18.69,19.19,19,20.2,21.51,22.18,23.27,24.11,24.96,25.18,434.58
korea148,M,50,37.19,14.28,13.57,13.75,12.96,13.8,17.54,18.84,18.71,19.97,20.09,20.82,21.06,21.68,22.36,23.52,23.74,26.42,27.6,28.08,28.65,28.85,27.2,500.68
korea149,M,60,38.26,16.24,13.41,13.72,13.63,15.89,16.98,20.01,19,19,19.75,20.23,20.39,20.34,21.77,21.82,21.76,23.37,24.31,24.2,25.66,26.39,28,484.13
korea150,F,55,34.14,14.6,13.15,11.83,12.72,14.53,16.43,18.62,17.96,18.12,18.11,18.8,19.13,19.06,19.63,19.42,20.04,22.6,24.17,26.24,25.22,25.71,23.95,454.18
korea151,M,23.5,37.8,16.14,14.96,14.86,13.7,15.59,17.77,20.39,19.92,20.86,21.2,22.63,22.53,22.28,23.2,23.67,23.78,25.23,25.84,26.79,27.81,27.03,27.52,511.5
korea152,M,45,36.35,14.99,14.57,14.98,13.08,15.27,17.37,19.11,19.32,19.88,20.99,20.97,21.17,21.81,21.08,21.83,22.02,24.45,25.39,25.94,27.77,26.81,27.32,492.47
korea153,M,60,33.49,13.37,12.6,12.19,11.73,12.24,16.42,17.11,16.31,17.4,17.91,18.44,19.49,21.2,20.04,19.54,21.84,21.15,26.75,24.97,27.31,27.41,25.05,453.96
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
N_male,75,N,153,153,153,153,153,153,153,153,153,153,153,153,153,153,153,153,153,153,153,153,153,153,153,153
N_female,65,Min,29.75,10.36,9.56,9.48,10.1,11.92,13.26,15.07,14.82,15.91,15.29,16,15.68,16.08,17.57,17.57,17.7,18.05,19.55,20.8,18.78,20.09,20.99,404.43
N_undeterminate,13,Max,43.76,16.42,16.21,15.5,15.56,17.7,20.38,21.06,20.94,20.86,22.02,22.63,22.79,23.87,24.61,27.43,26.75,27.22,29.41,29.91,32.93,32.39,33.44,544.71
